number,value,datetime_start,datetime_complete,duration,params_baseline,params_batch_size,params_gamma,params_hidden_dim,state
0,234.26992957108635,2025-09-07 20:15:50.355147,2025-09-07 20:22:18.984946,0 days 00:06:28.629799,0.0,50,0.95,128,COMPLETE
1,94.98732144270625,2025-09-07 20:22:18.985349,2025-09-07 20:27:36.552365,0 days 00:05:17.567016,50.0,50,0.95,128,COMPLETE
2,204.41813193500673,2025-09-07 20:27:36.552697,2025-09-07 20:38:56.041016,0 days 00:11:19.488319,100.0,10,0.99,128,COMPLETE
3,142.1310481511431,2025-09-07 20:38:56.041405,2025-09-07 20:45:25.457256,0 days 00:06:29.415851,50.0,50,0.99,128,COMPLETE
4,149.91734943670102,2025-09-07 20:45:25.457583,2025-09-07 20:52:19.566020,0 days 00:06:54.108437,0.0,10,0.95,64,COMPLETE
5,90.55352956030833,2025-09-07 20:52:19.566481,2025-09-07 20:53:10.585331,0 days 00:00:51.018850,100.0,50,0.95,128,PRUNED
6,395.2813966129769,2025-09-07 20:53:10.585571,2025-09-07 21:03:05.027797,0 days 00:09:54.442226,50.0,10,0.99,64,COMPLETE
7,190.69909479978475,2025-09-07 21:03:05.028184,2025-09-07 21:09:54.493375,0 days 00:06:49.465191,0.0,50,0.99,64,PRUNED
8,76.00537319610655,2025-09-07 21:09:54.493622,2025-09-07 21:10:44.074088,0 days 00:00:49.580466,20.0,50,0.99,128,PRUNED
9,84.17271463125505,2025-09-07 21:10:44.074382,2025-09-07 21:13:50.399072,0 days 00:03:06.324690,20.0,50,0.95,128,PRUNED
10,395.2813966129769,2025-09-07 21:13:50.399410,2025-09-07 21:23:46.267594,0 days 00:09:55.868184,50.0,10,0.99,64,COMPLETE
11,395.2813966129769,2025-09-07 21:23:46.267995,2025-09-07 21:33:41.407822,0 days 00:09:55.139827,50.0,10,0.99,64,COMPLETE
12,395.2813966129769,2025-09-07 21:33:41.408179,2025-09-07 21:43:38.439404,0 days 00:09:57.031225,50.0,10,0.99,64,COMPLETE
13,395.2813966129769,2025-09-07 21:43:38.439813,2025-09-07 21:53:38.733719,0 days 00:10:00.293906,50.0,10,0.99,64,COMPLETE
14,395.2813966129769,2025-09-07 21:53:38.734052,2025-09-07 22:03:35.807452,0 days 00:09:57.073400,50.0,10,0.99,64,COMPLETE
15,395.2813966129769,2025-09-07 22:03:35.807841,2025-09-07 22:13:33.904683,0 days 00:09:58.096842,50.0,10,0.99,64,COMPLETE
16,395.2813966129769,2025-09-07 22:13:33.905063,2025-09-07 22:23:30.893799,0 days 00:09:56.988736,50.0,10,0.99,64,COMPLETE
17,167.39584432413963,2025-09-07 22:23:30.894191,2025-09-07 22:25:07.675888,0 days 00:01:36.781697,20.0,10,0.99,64,PRUNED
18,183.24136761765095,2025-09-07 22:25:07.676186,2025-09-07 22:26:48.482573,0 days 00:01:40.806387,100.0,10,0.99,64,PRUNED
19,395.2813966129769,2025-09-07 22:26:48.482811,2025-09-07 22:36:42.192676,0 days 00:09:53.709865,50.0,10,0.99,64,COMPLETE
20,395.2813966129769,2025-09-07 22:36:42.193007,2025-09-07 22:46:47.166626,0 days 00:10:04.973619,50.0,10,0.99,64,COMPLETE
21,395.2813966129769,2025-09-07 22:46:47.166991,2025-09-07 22:56:56.900469,0 days 00:10:09.733478,50.0,10,0.99,64,COMPLETE
22,395.2813966129769,2025-09-07 22:56:56.900888,2025-09-07 23:07:00.276176,0 days 00:10:03.375288,50.0,10,0.99,64,COMPLETE
23,395.2813966129769,2025-09-07 23:07:00.276530,2025-09-07 23:16:59.115026,0 days 00:09:58.838496,50.0,10,0.99,64,COMPLETE
24,395.2813966129769,2025-09-07 23:16:59.115506,2025-09-07 23:26:55.658677,0 days 00:09:56.543171,50.0,10,0.99,64,COMPLETE
25,395.2813966129769,2025-09-07 23:26:55.659086,2025-09-07 23:36:53.908772,0 days 00:09:58.249686,50.0,10,0.99,64,COMPLETE
26,78.08137107453271,2025-09-07 23:36:53.909195,2025-09-07 23:37:54.248476,0 days 00:01:00.339281,100.0,10,0.95,64,PRUNED
27,379.65994935498975,2025-09-07 23:37:54.248929,2025-09-07 23:45:35.793996,0 days 00:07:41.545067,0.0,10,0.99,64,PRUNED
28,167.39584432413963,2025-09-07 23:45:35.794239,2025-09-07 23:47:14.525920,0 days 00:01:38.731681,20.0,10,0.99,64,PRUNED
29,81.69648894451132,2025-09-07 23:47:14.526286,2025-09-07 23:48:18.086277,0 days 00:01:03.559991,0.0,10,0.95,64,PRUNED
30,395.2813966129769,2025-09-07 23:48:18.086584,2025-09-07 23:58:17.947664,0 days 00:09:59.861080,50.0,10,0.99,64,COMPLETE
31,395.2813966129769,2025-09-07 23:58:17.948112,2025-09-08 00:08:21.029564,0 days 00:10:03.081452,50.0,10,0.99,64,COMPLETE
32,395.2813966129769,2025-09-08 00:08:21.030060,2025-09-08 00:18:16.191541,0 days 00:09:55.161481,50.0,10,0.99,64,COMPLETE
33,395.2813966129769,2025-09-08 00:18:16.191912,2025-09-08 00:28:07.922711,0 days 00:09:51.730799,50.0,10,0.99,64,COMPLETE
34,76.00535876282945,2025-09-08 00:28:07.923080,2025-09-08 00:28:56.629326,0 days 00:00:48.706246,50.0,50,0.99,128,PRUNED
35,85.07288210394266,2025-09-08 00:28:56.629559,2025-09-08 00:29:57.729656,0 days 00:01:01.100097,50.0,10,0.95,64,PRUNED
36,117.98864749683521,2025-09-08 00:29:57.729921,2025-09-08 00:31:09.763501,0 days 00:01:12.033580,100.0,10,0.99,128,PRUNED
37,115.33884191909632,2025-09-08 00:31:09.763758,2025-09-08 00:31:49.363240,0 days 00:00:39.599482,50.0,50,0.99,64,PRUNED
38,130.2465293140177,2025-09-08 00:31:49.363512,2025-09-08 00:36:12.102882,0 days 00:04:22.739370,0.0,10,0.95,128,PRUNED
39,115.33884191909632,2025-09-08 00:36:12.103106,2025-09-08 00:36:51.093345,0 days 00:00:38.990239,50.0,50,0.99,64,PRUNED
40,117.67487734651371,2025-09-08 00:36:51.093613,2025-09-08 00:38:03.092505,0 days 00:01:11.998892,20.0,10,0.99,128,PRUNED
41,395.2813966129769,2025-09-08 00:38:03.092760,2025-09-08 00:48:01.785281,0 days 00:09:58.692521,50.0,10,0.99,64,COMPLETE
42,395.2813966129769,2025-09-08 00:48:01.785721,2025-09-08 00:57:55.573984,0 days 00:09:53.788263,50.0,10,0.99,64,COMPLETE
43,395.2813966129769,2025-09-08 00:57:55.574368,2025-09-08 01:07:51.335996,0 days 00:09:55.761628,50.0,10,0.99,64,COMPLETE
44,395.2813966129769,2025-09-08 01:07:51.336383,2025-09-08 01:17:45.162343,0 days 00:09:53.825960,50.0,10,0.99,64,COMPLETE
45,115.33884191909632,2025-09-08 01:17:45.162828,2025-09-08 01:18:25.284607,0 days 00:00:40.121779,50.0,50,0.99,64,PRUNED
46,78.08137107453271,2025-09-08 01:18:25.284850,2025-09-08 01:19:26.789421,0 days 00:01:01.504571,100.0,10,0.95,64,PRUNED
47,395.2813966129769,2025-09-08 01:19:26.789687,2025-09-08 01:29:22.168426,0 days 00:09:55.378739,50.0,10,0.99,64,COMPLETE
48,167.39584432413963,2025-09-08 01:29:22.168810,2025-09-08 01:30:59.698990,0 days 00:01:37.530180,20.0,10,0.99,64,PRUNED
49,117.98746168216665,2025-09-08 01:30:59.699254,2025-09-08 01:32:11.731249,0 days 00:01:12.031995,0.0,10,0.99,128,PRUNED
