timesteps,mean_reward,std_reward,mean_steps
10000,540.8077,0.48930633,500.0
20000,350.64423,1.1206868,209.2
30000,298.0687,1.6357938,167.9
40000,459.64502,1.1714507,241.9
50000,521.14484,0.4880504,500.0
60000,693.9863,3.7137315,361.4
70000,728.04425,202.89058,322.4
80000,994.38055,2.7725608,470.3
90000,353.30994,4.8085513,168.7
100000,922.48126,3.1662257,300.7
110000,837.19714,10.48005,253.6
120000,566.2147,3.5551178,193.0
130000,825.8174,6.5853977,259.9
140000,783.99567,31.483067,236.5
150000,691.02136,17.837982,216.6
160000,1539.1299,7.5020175,500.0
170000,1169.3907,39.02869,359.8
180000,1046.247,117.858215,301.7
190000,1347.6831,285.5727,429.4
200000,1438.7798,45.65827,432.5
